Script started on 2022-10-22 17:19:53+03:00 [COMMAND="./TrainTest.sh" TERM="xterm-256color" TTY="/dev/pts/3" COLUMNS="94" LINES="21"]
loading training configuration: /home/kpapad/UG_thesis/tutorial_scripts/MachineLearning/config/training_conf9.dict
Training started with data from /home/kpapad/UG_thesis/tutorial_scripts/MachineLearning/RFiles/49s21Train.root and /home/kpapad/UG_thesis/tutorial_scripts/MachineLearning/RFiles/49s22Train.root
/home/kpapad/UG_thesis/my_env/lib/python3.10/site-packages/xgboost/sklearn.py:793: UserWarning: `early_stopping_rounds` in `fit` method is deprecated for better compatibility with scikit-learn, use `early_stopping_rounds` in constructor or`set_params` instead.
  warnings.warn(
[282]	validation_0-logloss:0.51509
[283]	validation_0-logloss:0.51456
[284]	validation_0-logloss:0.51414
[285]	validation_0-logloss:0.51384
[286]	validation_0-logloss:0.51310
[287]	validation_0-logloss:0.51249
[288]	validation_0-logloss:0.51202
[289]	validation_0-logloss:0.51132
[290]	validation_0-logloss:0.51081
[291]	validation_0-logloss:0.51025
[292]	validation_0-logloss:0.50958
[293]	validation_0-logloss:0.50899
[294]	validation_0-logloss:0.50841
[295]	validation_0-logloss:0.50781
[296]	validation_0-logloss:0.50756
[297]	validation_0-logloss:0.50696
[298]	validation_0-logloss:0.50633
[299]	validation_0-logloss:0.50582
[300]	validation_0-logloss:0.50540
[301]	validation_0-logloss:0.50506
[302]	validation_0-logloss:0.50468
[303]	validation_0-logloss:0.50395
[304]	validation_0-logloss:0.50349
[305]	validation_0-logloss:0.50297
[306]	validation_0-logloss:0.50231
[307]	validation_0-logloss:0.50191
[308]	validation_0-logloss:0.50133
[309]	validation_0-logloss:0.50071
[310]	validation_0-logloss:0.50027
[311]	validation_0-logloss:0.49961
[312]	validation_0-logloss:0.49913
[313]	validation_0-logloss:0.49851
[314]	validation_0-logloss:0.49787
[315]	validation_0-logloss:0.49745
[316]	validation_0-logloss:0.49669
[317]	validation_0-logloss:0.49635
[318]	validation_0-logloss:0.49592
[319]	validation_0-logloss:0.49558
[320]	validation_0-logloss:0.49511
[321]	validation_0-logloss:0.49460
[322]	validation_0-logloss:0.49396
[323]	validation_0-logloss:0.49329
[324]	validation_0-logloss:0.49278
[325]	validation_0-logloss:0.49218
[326]	validation_0-logloss:0.49164
[327]	validation_0-logloss:0.49129
[328]	validation_0-logloss:0.49056
[329]	validation_0-logloss:0.49010
[330]	validation_0-logloss:0.48946
[331]	validation_0-logloss:0.48892
[332]	validation_0-logloss:0.48836
[333]	validation_0-logloss:0.48796
[334]	validation_0-logloss:0.48765
[335]	validation_0-logloss:0.48684
[336]	validation_0-logloss:0.48628
[337]	validation_0-logloss:0.48569
[338]	validation_0-logloss:0.48525
[339]	validation_0-logloss:0.48490
